Name,Typ,Adresse,Stadtteil,lat,lon,Quelle
"eat green","restaurant","Rudower Chaussee 5B, 12489 Berlin, Deutschland","Adlershof",52.4339753,13.5384089,OSM
"Olympia","restaurant","Rudower Chaussee 5A, 12489 Berlin, Deutschland","Adlershof",52.4341534,13.5387366,OSM
"umfrisiert","hairdresser","Rudower Chaussee 5B, 12489 Berlin, Deutschland","Adlershof",52.4338025,13.5381318,OSM
"Kiosk","convenience","Rudower Chaussee 5B, 12489 Berlin, Deutschland","Adlershof",52.4337301,13.5380283,OSM
"Lunch Company","bakery","Rudower Chaussee 5C, 12489 Berlin, Deutschland","Adlershof",52.4336439,13.5379451,OSM
"SB-Waschcenter","laundry","Rudower Chaussee 5C, 12489 Berlin, Deutschland","Adlershof",52.4335329,13.5377927,Beide
"Reiner Lemoine Institut","research_institute","Karl-Otto-Reinsch-Straße, 12489 Berlin, Deutschland","Adlershof",52.433509,13.5358551,OSM
"Konditorei Engelmann","cafe","Walther-Huth-Straße 4, 12487 Berlin, Deutschland","Johannisthal",52.4383941,13.5094825,OSM
"Bäckerei Steinecke","bakery","Groß-Berliner Damm 152, 12489 Berlin, Deutschland","Adlershof",52.4346632,13.5310701,OSM
"Cafe Campus","cafe","Groß-Berliner Damm 138, 12489 Berlin, Deutschland","Adlershof",52.4356902,13.5293987,OSM
"Cöpmobiles Berlin","car_repair","Adlergestell 361, 12489 Berlin, Deutschland","Adlershof",52.4279963,13.5570946,OSM
"Falafel Saida","fast_food","Magnusstraße, 12489 Berlin, Deutschland","Adlershof",52.4288608,13.5322782,OSM
"Augenarzt Shahnazary","doctors","Dörpfeldstraße 47, 12489 Berlin, Deutschland","Adlershof",52.4385922,13.5496009,OSM
"Änderungsschneiderei & Schuhreparatur","shoe_repair","Dörpfeldstraße 50, 12489 Berlin, Deutschland","Adlershof",52.4384552,13.5492667,OSM
"Hair Station","hairdresser","Dörpfeldstraße 7, 12489 Berlin, Deutschland","Adlershof",52.4361361,13.543527,OSM
"Trek","bicycle","Dörpfeldstraße 6, 12489 Berlin, Deutschland","Adlershof",52.4357796,13.5426391,OSM
"OM MANI","restaurant","Am Studio 1, 12489 Berlin, Deutschland","Adlershof",52.4323794,13.5368095,OSM
"Bestattungshaus Priepke","funeral_directors","Hackenbergstraße 12, 12489 Berlin, Deutschland","Adlershof",52.4401424,13.5472187,OSM
"Olivo Berlin","restaurant","Wagner-Régeny-Straße 12, 12489 Berlin, Deutschland","Adlershof",52.4361971,13.5356309,OSM
"Fisch mit Biss","fast_food","Albert-Einstein-Straße 1, 12489 Berlin, Deutschland","Adlershof",52.4314602,13.5376686,OSM
"SIXT","car_rental","Rudower Chaussee 11, 12489 Berlin, Deutschland","Adlershof",52.4324131,13.5359448,OSM
"Dreißig","bakery","OBI, Adlergestell 303, 12489 Berlin, Deutschland","Adlershof",52.4301701,13.5503006,OSM
"Fahrschule Schneider","driving_school","Am Studio 22, 12489 Berlin, Deutschland","Adlershof",52.4312715,13.5396114,OSM
"BerryBase / Sertronics","outpost","Wilhelm-Ostwald-STR., Am Studio 19, 12489 Berlin, Deutschland","Adlershof",52.4284153,13.5440153,OSM
"Coffeebar","cafe","Berliner Stadtwerke, Rudower Chaussee 25, 12489 Berlin, Deutschland","Adlershof",52.4294073,13.530074,OSM
"Studio Lunch","restaurant","DHL, Am Studio 20D, 12489 Berlin, Deutschland","Adlershof",52.4299778,13.5418947,OSM
"Meet Saigon","restaurant","Franz-Ehrlich-Straße 5, 12489 Berlin, Deutschland","Adlershof",52.4337842,13.5402305,OSM
"H&A Nails Lashes","beauty","Dörpfeldstraße 53, 12489 Berlin, Deutschland","Adlershof",52.4386958,13.5505135,OSM
"Burger Vision","yes","Ernst-Augustin-Straße 2, 12489 Berlin, Deutschland","Adlershof",52.4336734,13.5416407,OSM
"Marktplatz Adlershof","marketplace","Marktplatz, 12489 Berlin, Deutschland","Adlershof",52.4378995,13.5473582,OSM
"Kick Inn","pub","Adlergestell 263, 12489 Berlin, Deutschland","Adlershof",52.4341732,13.5432656,OSM
"PENNY","supermarket","Johanniter-Quartier Johannisthal, Straße am Flugplatz 43, 12487 Berlin, Deutschland","Johannisthal",52.4298223,13.5125861,OSM
"Herzmedizin Berlin","doctors","Rudower Chaussee 9, 12489 Berlin, Deutschland","Adlershof",52.4329822,13.5369713,OSM
"Esswirtschaft","restaurant","Rudower Chaussee 39, 12489 Berlin, Deutschland","Adlershof",52.4284293,13.5257157,OSM
"Steinecke","bakery","Eisenhutweg 99, 12487 Berlin, Deutschland","Johannisthal",52.429563,13.513021,OSM
"Der Bäcker Feihl","bakery","Rudower Chaussee 6, 12489 Berlin, Deutschland","Adlershof",52.4339714,13.5373342,OSM
"Hausarztpraxis Dr. med Regine Päckert","doctors","Wassermannstraße 90, 12489 Berlin, Deutschland","Adlershof",52.4380458,13.5536739,OSM
"Adlershofer Kostüm-Zauberei","party","Am Studio 18, 12489 Berlin, Deutschland","Adlershof",52.4286819,13.5437275,OSM
"Wilhelm","bicycle_rental","Rudower Straße 37, 12557 Berlin, Deutschland","Köpenick",52.4439658,13.5644057,OSM
"Dörte","bicycle_rental","Dörpfeldstraße 53, 12489 Berlin, Deutschland","Adlershof",52.4386718,13.5505354,OSM
"Dörk","bicycle_rental","Dörpfeldstraße 73, 12489 Berlin, Deutschland","Adlershof",52.4398026,13.5535981,OSM
"Grimau-Club","community_centre","Waldstraße 5, 12489 Berlin, Deutschland","Adlershof",52.4425525,13.5518342,OSM
"Familya Adlershof","kindergarten","Konrad-Zuse-Straße 6A, 12489 Berlin, Deutschland","Adlershof",52.4366156,13.5273346,OSM
"Wittenburg Bestattungen","funeral_directors","Hackenbergstraße 21, 12489 Berlin, Deutschland","Adlershof",52.4396824,13.5472926,OSM
"Wäscherei Szubiak","laundry","Hackenbergstraße 5, 12489 Berlin, Deutschland","Adlershof",52.4392953,13.5481494,OSM
"Hair Station","hairdresser","Dörpfeldstraße 80, 12489 Berlin, Deutschland","Adlershof",52.4400752,13.5537185,OSM
